county_fips,score,yost_ses_quintile
39000,0.48055380952380955,4
39001,0.3056512280701754,3
39002,0.34698382608695655,4
39003,0.20499855238095238,3
39004,-0.2591676832844575,1
39005,-0.049250126582278494,2
39006,0.033251782945736434,2
39007,0.835334761904762,5
39008,0.1090511888111888,3
39009,0.2838691666666667,3
39010,0.04289395348837209,2
39011,0.10049668571428572,3
39012,0.5039688888888888,4
39013,0.2776480459770115,3
39014,0.6001090666666667,4
39015,0.17076901023890784,3
39016,0.08011113636363637,3
39017,-0.014718000000000014,2
40000,0.6629388235294118,4
40001,0.2838189285714286,3
40002,-0.257368,1
40003,0.35647233333333334,4
40004,0.623244375,4
40005,0.5061482352941176,4
40006,0.7044591304347826,5
40007,0.5748445161290323,4
40008,0.6688477419354838,4
40009,0.7521225,5
40010,0.06420497959183674,3
40011,0.38205155555555553,4
40012,0.5667185365853659,4
40013,0.33124406779661014,4
40014,-0.20564597156398104,2
40015,0.23896,3
41000,-0.6999818867924529,1
41001,-0.146959375,2
41002,-0.20433155555555554,2
41003,-0.29831243697478993,1
41004,-0.05853934782608696,2
41005,-0.47682568627450983,1
41006,-0.780230099009901,1
41007,-0.04402307692307693,2
42000,0.022405669902912623,2
42001,-0.05357761589403974,2
42002,-0.20977077720207254,2
42003,0.634354647887324,4
42004,-0.0971495,2
42005,0.8056583561643835,5
42006,0.5135893457943925,4
42007,0.37562255591054317,4
42008,0.39966723809523813,4
42009,-0.33803089700996675,1
42010,0.6979521951219512,5
42011,0.65997375,4
42012,0.2551680612244898,3
42013,0.2809927272727273,3
44000,0.06286017621145375,3
45000,0.5903763888888889,4
45001,-0.044525581395348825,2
45002,1.1717922727272727,5
45003,0.5582966666666667,4
45004,0.39965375886524823,4
45005,0.43600975000000003,4
45006,0.26740606060606065,3
45007,0.1946451515151515,3
45008,0.742038085106383,5
45009,0.3057958823529412,3
46000,0.2525125,3
46001,-0.091673,2
46002,0.02805866666666667,2
46003,0.1933111111111111,3
46004,0.41228800000000004,4
46005,0.28757,3
46006,0.11853166666666666,3
46007,-0.038711999999999996,2
46008,0.03633999999999999,2
46009,-0.45708000000000004,1
46010,-0.13095733333333331,2
46011,0.16684909090909092,3
46012,-0.07299454545454546,2
46013,0.21867999999999999,3
47000,0.618598,4
47001,0.9906596226415094,5
47002,1.2274251851851854,5
47003,0.060447080745341615,3
47004,0.9595696551724138,5
47005,1.0419665306122448,5
47006,0.37945739130434786,4
